#NAME(1),a(au),Period(day),Excentricity(1),Mass(Mjup),Mstar(Msun),Rstar(Rsun),Teff(K),Rplanet(Rjup)
KOI_1783.01,0.533,134.47972,0,0.27196474503845175,1.115,1.03,6235,0.7583205113885062
KOI_1784.01,0.057,5.0074099,0,0.09393187576166998,0.99,0.89,5853,0.463913724614145
KOI_1786.01,0.145,24.678853,0,0.11125476298884664,0.663,0.637,4668,0.5602650366493904
KOI_1787.01,0.418,98.7187,0,0.22332701801239385,0.995,0.89,5866,0.7137134224832999
KOI_1788.01,0.325,71.52622,0,0.1984631352623038,0.9,1.06,4683,0.6869491691401762
KOI_1790.01,0.5,130.35148,0,0.1327720595630194,0.981,0.95,5890,0.5977349913297637
KOI_1793.01,0.044,3.261758,0,1,1.08,0.97,5876,2.8548536899331998
KOI_1797.01,0.115,16.781774,0,0.01696010811674252,0.711,0.7,4907,0.1962711911829075
KOI_1798.01,0.112,12.964712,0,0.3462215171093917,1.101,1.01,6202,0.8118490180747536
KOI_1799.01,0.029,1.7310805,0,1,1.046,0.95,6029,4.371494712710212
KOI_1800.01,0.074,7.7942995,0,0.1498745820985499,0.875,0.94,5600,0.5531279024245574
KOI_1801.01,0.108,14.532271,0,0.03660046286224619,0.8,0.86,5331,0.3033282045554025
KOI_1802.01,0.06,5.248681,0,0.019338605009026066,1.068,0.98,6103,0.21589831030119822
KOI_1803.01,0.048,4.539292,0,0.013538959863280521,0.72,0.71,4926,0.1605855200587425
KOI_221.02,0.061,5.89686,0,0.0010819872266159744,0.865,0.76,5379,0.06601849157970524
KOI_2074.01,0.188,33.41832,0,0.017989941138038083,0.799,0.7,5121,0.20519260896394872
KOI_2075.01,0.034,2.053352,0,0.010551076838668526,1.24,1.54,6422,0.12668413249078572
KOI_2076.01,0.294,56.77673,0,0.02656592082530671,1.052,0.95,6052,0.2605053992064045
KOI_2078.01,0.116,18.78423,0,0.013031382012060519,0.595,0.565,4317,0.1543405276120136
KOI_2079.01,0.014,0.6938521,0,0.0007254875283034782,0.821,0.93,5434,0.058881357354872245
KOI_2081.01,0.075,6.213921,0,0.05843905891093082,1.43,3.13,5249,0.3684545543570036
KOI_2082.01,0.199,31.58844,0,0.014872774729437648,1.055,0.96,6066,0.17575193028651262
KOI_2083.01,0.079,7.72087,0,0.01696010811674252,1.11,1.25,6238,0.1962711911829075
